name,morningstar_category,nav_dollar_amount,nav_change_dollar_amount,daily_30_day_yield,daily_7_day_yield,minimum_investment,last_dividend,morningstar_rating_overall
Baron Partners Fund Institutional Shares (BPTIX),Large Growth,$227.27,-$6.60,,,"$1,000,000",$0.2224,1137
Baron Partners Fund Retail Shares (BPTRX),Large Growth,$219.93,-$6.39,,,"$2,500",$0.1243,1137
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class I (MSSGX)",Small Growth,$31.09,+$0.50,,,"$5,000,000",$0.00,574
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class A (MSSMX)",Small Growth,$22.74,+$0.37,,,"$2,500",$0.00,574
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class C (MSCOX)",Small Growth,$21.59,+$0.34,,,"$2,500",,574
Baron Focused Growth Fund Institutional Shares (BFGIX),Mid-Cap Growth,$55.10,-$1.07,,,"$1,000,000",$0.0029,550
Baron Focused Growth Fund Retail Shares (BFGFX),Mid-Cap Growth,$53.44,-$1.04,,,"$2,500",$0.001,550
Jacob Internet Investor Class (JAMFX),Technology,$12.16,+$0.16,,,"$2,500",$0.00,216
Shelton Green Alpha Fund (NEXTX),Mid-Cap Growth,$49.26,+$0.47,,,"$2,500",$0.0175,550
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class I (MPEGX),Mid-Cap Growth,$48.03,+$1.05,,,"$5,000,000",$0.00,550
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class A (MACGX),Mid-Cap Growth,$36.72,+$0.81,,,"$2,500",$0.00,550
Fidelity® Select Semiconductors Portfolio (FSELX),Technology,$23.80,+$0.28,,,$0,$0.078,216
Rydex Electronics Fund Class Investor (RYSIX),Technology,$355.22,+$5.39,,,"$2,500",$0.013363,216
Rydex Electronics Fund Class A (RYELX),Technology,$325.99,+$4.94,,,"$2,500",$0.013363,216
Rydex Electronics Fund Class H (RYSAX),Technology,$316.21,+$4.79,,,"$2,500",$0.013363,216
T. Rowe Price Global Technology Fund (PRGTX),Technology,$34.18,-$0.12,,,"$2,500",$0.00,216
Morgan Stanley Insight Fund Class I (CPODX),Large Growth,$104.29,+$2.03,,,"$5,000,000",$0.00,1137
Morgan Stanley Insight Fund Class A (CPOAX),Large Growth,$91.48,+$1.78,,,"$2,500",$0.00,1137
Jacob Discovery Fund Institutional Class shares (JMIGX),Small Growth,$47.81,+$0.24,,,"$100,000",$0.00,574
Jacob Discovery Fund Investor Class shares (JMCGX),Small Growth,$43.21,+$0.21,,,"$2,500",$0.00,574
Rydex Electronics Fund Class C (RYSCX),Technology,$282.66,+$4.28,,,"$2,500",$0.013363,216
Morgan Stanley Insight Fund Class C (MSCMX),Large Growth,$58.59,+$1.14,,,"$2,500",$0.00,1137
American Beacon ARK Transformational Innovation Fund Investor Class (ADNPX),Mid-Cap Growth,$46.19,+$0.32,,,"$2,500",$0.0215,550
American Beacon ARK Transformational Innovation Fund Class A (ADNAX),Mid-Cap Growth,$46.20,+$0.32,,,"$2,500",$0.0008,550
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class I (MSEQX)",Large Growth,$109.27,+$2.15,,,"$5,000,000",$0.00,1137
AXS Thomson Reuters Venture Capital Return Tracker Fund Class I Shares (LDVIX),Large Growth,$40.64,+$0.25,,,"$5,000",$0.3743,1137
Baron Opportunity Fund Institutional Class (BIOIX),Large Growth,$51.13,+$0.43,,,"$1,000,000",$0.00,1137
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class A (MSEGX)",Large Growth,$101.68,+$1.99,,,"$2,500",$0.00,1137
AXS Thomson Reuters Venture Capital Return Tracker Fund Class A Shares (LDVAX),Large Growth,$40.05,+$0.24,,,"$2,500",$0.3624,1137
Baron Opportunity Fund Retail Class (BIOPX),Large Growth,$48.49,+$0.41,,,"$2,500",$0.00,1137
Needham Small Cap Growth Fund Institutional Class (NESIX),Small Growth,$32.49,-$0.02,,,"$100,000",,574
BlackRock Technology Opportunities Fund Institutional Shares (BGSIX),Technology,$73.36,+$0.45,,,"$2,000,000",$0.00,216
American Beacon ARK Transformational Innovation Fund Class C (ADNCX),Mid-Cap Growth,$45.28,+$0.32,,,"$2,500",,550
BlackRock Technology Opportunities Fund Service Shares (BSTSX),Technology,$68.74,+$0.42,,,"$5,000",$0.00,216
BlackRock Technology Opportunities Fund Investor A Shares (BGSAX),Technology,$67.11,+$0.41,,,"$1,000",$0.00,216
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class C (MSGUX)",Large Growth,$91.78,+$1.80,,,"$2,500",$0.00,1137
AXS Thomson Reuters Venture Capital Return Tracker Fund Class C Shares (LDVCX),Large Growth,$37.97,+$0.23,,,"$2,500",$0.3372,1137
Needham Small Cap Growth Fund Retail Class (NESGX),Small Growth,$31.28,-$0.02,,,"$2,500",$0.00,574
Berkshire Focus Fund (BFOCX),Technology,$50.45,+$0.44,,,"$5,000",,216
Transamerica Capital Growth Fund Class I (TFOIX),Large Growth,$66.55,+$1.30,,,"$1,000,000",$0.00,1137
Baron Global Advantage Fund Institutional Shares (BGAIX),World Large-Stock Growth,$60.48,+$0.56,,,"$1,000,000",$0.042,307
Virtus Zevenbergen Innovative Growth Stock Fund Class I (SCATX),Large Growth,$71.24,+$1.17,,,"$100,000",$0.00,1137
Transamerica Capital Growth Fund Class A (IALAX),Large Growth,$62.27,+$1.21,,,"$2,500",$0.00,1137
Baron Global Advantage Fund Retail Shares (BGAFX),World Large-Stock Growth,$59.30,+$0.56,,,"$2,500",$0.0254,307
Guinness Atkinson Alternative Energy Fund (GAAEX),World Small/Mid Stock,$7.08,-$0.01,,,"$2,500",$0.0024,134
