name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
Baron Partners Fund Institutional Shares (BPTIX),20 years,"$9,069.35",05/29/2009,10.7%,"$1,000,000",N,1.3%,1.3%
Baron Partners Fund Retail Shares (BPTRX),20 years,"$9,069.35",04/30/2003,10.7%,"$2,500",N,1.56%,1.56%
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class I (MSSGX)",20 years,"$1,942.39",11/01/1989,132%,"$5,000,000",N,1%,1.19%
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class A (MSSMX)",20 years,"$1,942.39",11/01/1989,132%,"$2,500",Y,1.35%,1.45%
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class C (MSCOX)",20 years,"$1,942.39",11/01/1989,132%,"$2,500",N,2.1%,2.27%
Baron Focused Growth Fund Institutional Shares (BFGIX),20 years,$879.80,05/29/2009,18.09%,"$1,000,000",N,1.07%,1.07%
Baron Focused Growth Fund Retail Shares (BFGFX),20 years,$879.80,06/30/2008,18.09%,"$2,500",N,1.35%,1.35%
Jacob Internet Investor Class (JAMFX),20 years,$183.67,12/13/1999,52%,"$2,500",N,2.5%,2.5%
Shelton Green Alpha Fund (NEXTX),20 years,$375.17,03/12/2013,27%,"$2,500",N,1.28%,1.28%
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class I (MPEGX),20 years,"$4,663.02",03/30/1990,65%,"$5,000,000",N,0.74%,0.74%
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class A (MACGX),20 years,"$4,663.02",03/30/1990,65%,"$2,500",Y,1.01%,1.01%
Fidelity® Select Semiconductors Portfolio (FSELX),20 years,"$7,730.86",07/29/1985,36%,$0,N,0.7%,0.7%
Rydex Electronics Fund Class Investor (RYSIX),20 years,$50.02,04/01/1998,163%,"$2,500",N,1.44%,1.44%
Rydex Electronics Fund Class A (RYELX),20 years,$50.02,04/01/1998,163%,"$2,500",Y,1.69%,1.69%
Rydex Electronics Fund Class H (RYSAX),20 years,$50.02,04/02/1998,163%,"$2,500",N,1.67%,1.67%
T. Rowe Price Global Technology Fund (PRGTX),20 years,"$10,168.37",09/29/2000,82.8%,"$2,500",N,0.86%,0.86%
