name,morningstar_category,ytdDaily,yr1,yr3,yr5,yr10,life_of_fund,net_expense_ratio,gross_expense_ratio,morningstar_rating_overall
Baron Partners Fund Institutional Shares (BPTIX),Large Growth,+44.60%,+110.27%,+65.56%,+47.54%,+29.02%,+27.02%,1.3%,1.3%,1137
Baron Partners Fund Retail Shares (BPTRX),Large Growth,+44.28%,+109.72%,+65.13%,+47.15%,+28.68%,+20.45%,1.56%,1.56%,1137
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class I (MSSGX)",Small Growth,+20.05%,+81.15%,+55.11%,+38.37%,+22.37%,+14.14%,1%,1.19%,574
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class A (MSSMX)",Small Growth,+19.75%,+80.67%,+54.70%,+37.98%,+22.01%,+13.83%,1.35%,1.45%,574
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class C (MSCOX)",Small Growth,--,+79.39%,+53.46%,+36.90%,+21.11%,+13.00%,2.1%,2.27%,574
Baron Focused Growth Fund Institutional Shares (BFGIX),Mid-Cap Growth,+29.85%,+78.53%,+51.07%,+37.87%,+21.75%,+21.12%,1.07%,1.07%,550
Baron Focused Growth Fund Retail Shares (BFGFX),Mid-Cap Growth,+29.55%,+78.01%,+50.65%,+37.51%,+21.45%,+16.53%,1.35%,1.35%,550
Jacob Internet Investor Class (JAMFX),Technology,+38.57%,+89.63%,+50.47%,+35.27%,+23.37%,+4.38%,2.5%,2.5%,216
Shelton Green Alpha Fund (NEXTX),Mid-Cap Growth,+13.31%,+56.37%,+49.75%,+30.02%,--,+21.12%,1.28%,1.28%,550
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class I (MPEGX),Mid-Cap Growth,+8.67%,+33.40%,+49.55%,+40.23%,+20.95%,+15.49%,0.74%,0.74%,550
