name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
Baron Partners Fund Institutional Shares (BPTIX),Large Growth,6,40.41,1.60,1.51,0.63
Baron Partners Fund Retail Shares (BPTRX),Large Growth,6,40.39,1.59,1.51,0.63
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class I (MSSGX)",Small Growth,7,40.44,1.34,1.40,0.71
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class A (MSSMX)",Small Growth,7,40.48,1.32,1.40,0.71
"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class C (MSCOX)",Small Growth,7,40.42,1.30,1.40,0.71
Baron Focused Growth Fund Institutional Shares (BFGIX),Mid-Cap Growth,6,33.96,1.47,1.16,0.62
Baron Focused Growth Fund Retail Shares (BFGFX),Mid-Cap Growth,6,33.95,1.46,1.16,0.62
Jacob Internet Investor Class (JAMFX),Technology,7,33.61,1.47,1.36,0.56
Shelton Green Alpha Fund (NEXTX),Mid-Cap Growth,6,30.08,1.62,1.38,0.68
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class I (MPEGX),Mid-Cap Growth,6,30.89,1.57,1.22,0.70
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class A (MACGX),Mid-Cap Growth,6,30.90,1.56,1.22,0.70
Fidelity® Select Semiconductors Portfolio (FSELX),Technology,7,25.22,1.75,1.20,0.77
Rydex Electronics Fund Class Investor (RYSIX),Technology,7,24.31,1.79,1.15,0.76
Rydex Electronics Fund Class A (RYELX),Technology,7,24.30,1.78,1.15,0.76
Rydex Electronics Fund Class H (RYSAX),Technology,7,24.30,1.78,1.15,0.76
T. Rowe Price Global Technology Fund (PRGTX),Technology,7,22.41,1.92,1.00,0.80
Morgan Stanley Insight Fund Class I (CPODX),Large Growth,6,27.73,1.55,1.13,0.64
Morgan Stanley Insight Fund Class A (CPOAX),Large Growth,6,27.72,1.54,1.13,0.64
Jacob Discovery Fund Institutional Class shares (JMIGX),Small Growth,7,32.60,1.30,1.07,0.87
Jacob Discovery Fund Investor Class shares (JMCGX),Small Growth,7,32.57,1.30,1.07,0.87
Rydex Electronics Fund Class C (RYSCX),Technology,7,24.29,1.73,1.15,0.76
Morgan Stanley Insight Fund Class C (MSCMX),Large Growth,6,27.70,1.50,1.13,0.64
American Beacon ARK Transformational Innovation Fund Investor Class (ADNPX),Mid-Cap Growth,6,34.32,1.21,1.41,0.57
American Beacon ARK Transformational Innovation Fund Class A (ADNAX),Mid-Cap Growth,6,34.30,1.21,1.40,0.57
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class I (MSEQX)",Large Growth,6,26.45,1.56,1.11,0.67
AXS Thomson Reuters Venture Capital Return Tracker Fund Class I Shares (LDVIX),Large Growth,6,27.85,1.48,,
Baron Opportunity Fund Institutional Class (BIOIX),Large Growth,6,21.50,1.91,0.98,0.81
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class A (MSEGX)",Large Growth,6,26.44,1.55,1.11,0.67
AXS Thomson Reuters Venture Capital Return Tracker Fund Class A Shares (LDVAX),Large Growth,6,27.84,1.47,,
Baron Opportunity Fund Retail Class (BIOPX),Large Growth,6,21.50,1.90,0.98,0.81
Needham Small Cap Growth Fund Institutional Class (NESIX),Small Growth,7,24.59,1.65,0.87,0.76
BlackRock Technology Opportunities Fund Institutional Shares (BGSIX),Technology,7,22.21,1.82,1.02,0.84
American Beacon ARK Transformational Innovation Fund Class C (ADNCX),Mid-Cap Growth,6,34.29,1.18,1.41,0.57
BlackRock Technology Opportunities Fund Service Shares (BSTSX),Technology,7,22.22,1.80,1.02,0.84
BlackRock Technology Opportunities Fund Investor A Shares (BGSAX),Technology,7,22.21,1.80,1.02,0.84
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class C (MSGUX)",Large Growth,6,26.43,1.51,1.11,0.67
AXS Thomson Reuters Venture Capital Return Tracker Fund Class C Shares (LDVCX),Large Growth,6,27.83,1.43,,
Needham Small Cap Growth Fund Retail Class (NESGX),Small Growth,7,24.59,1.61,0.87,0.76
Berkshire Focus Fund (BFOCX),Technology,7,26.30,1.50,1.08,0.57
Transamerica Capital Growth Fund Class I (TFOIX),Large Growth,6,26.33,1.50,1.10,0.66
Baron Global Advantage Fund Institutional Shares (BGAIX),World Large-Stock Growth,6,22.49,1.75,0.95,0.56
Virtus Zevenbergen Innovative Growth Stock Fund Class I (SCATX),Large Growth,6,28.64,1.38,1.22,0.70
Transamerica Capital Growth Fund Class A (IALAX),Large Growth,6,26.34,1.49,1.10,0.66
Baron Global Advantage Fund Retail Shares (BGAFX),World Large-Stock Growth,6,22.47,1.74,0.95,0.56
Guinness Atkinson Alternative Energy Fund (GAAEX),World Small/Mid Stock,7,24.49,1.60,1.12,0.68
