standard_names,Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,Yearly Change %,World Share %
China,1440297825,5540090,153,9388211,-348399.0,1.7,38,61.0,0.39,18.47
India,1382345085,13586631,464,2973190,-532687.0,2.2,28,35.0,0.99,17.7
United States,331341050,1937734,36,9147420,954806.0,1.8,38,83.0,0.59,4.25
Indonesia,274021604,2898047,151,1811570,-98955.0,2.3,30,56.0,1.07,3.51
Pakistan,221612785,4327022,287,770880,-233379.0,3.6,23,35.0,2.0,2.83
Brazil,212821986,1509890,25,8358140,21200.0,1.7,33,88.0,0.72,2.73
Nigeria,206984347,5175990,226,910770,-60000.0,5.4,18,52.0,2.58,2.64
Bangladesh,164972348,1643222,1265,130170,-369501.0,2.1,28,39.0,1.01,2.11
Russia,145945524,62206,9,16376870,182456.0,1.8,40,74.0,0.04,1.87
Mexico,129166028,1357224,66,1943950,-60000.0,2.1,29,84.0,1.06,1.65
Japan,126407422,-383840,347,364555,71560.0,1.4,48,92.0,-0.3,1.62
Ethiopia,115434444,2884858,115,1000000,30000.0,4.3,19,21.0,2.57,1.47
Philippines,109830324,1464463,368,298170,-67152.0,2.6,26,47.0,1.35,1.41
Egypt,102659126,1946331,103,995450,-38033.0,3.3,25,43.0,1.94,1.31
Vietnam,97490013,876473,314,310070,-80000.0,2.1,32,38.0,0.91,1.25
DR Congo,90003954,2770836,40,2267050,23861.0,6.0,17,46.0,3.19,1.15
Turkey,84495243,909452,110,769630,283922.0,2.1,32,76.0,1.09,1.08
Iran,84176929,1079043,52,1628550,-55000.0,2.2,32,76.0,1.3,1.08
Germany,83830972,266897,240,348560,543822.0,1.6,46,76.0,0.32,1.07
Thailand,69830779,174396,137,510890,19444.0,1.5,40,51.0,0.25,0.9
United Kingdom,67948282,355839,281,241930,260650.0,1.8,40,83.0,0.53,0.87
France,65298930,143783,119,547557,36527.0,1.9,42,82.0,0.22,0.84
Italy,60446035,-88249,206,294140,148943.0,1.3,47,69.0,-0.15,0.78
Tanzania,60012400,1728755,67,885800,-40076.0,4.9,18,37.0,2.98,0.77
South Africa,59436725,750420,49,1213090,145405.0,2.4,28,67.0,1.28,0.76
Myanmar,54473253,364380,83,653290,-163313.0,2.2,29,31.0,0.67,0.7
Kenya,53968739,1197323,94,569140,-10000.0,3.5,20,28.0,2.28,0.69
South Korea,51276977,43877,527,97230,11731.0,1.1,44,82.0,0.09,0.66
Colombia,50976248,543448,46,1109500,204796.0,1.8,31,80.0,1.08,0.65
Spain,46757980,18002,94,498800,40000.0,1.3,45,80.0,0.04,0.6
Uganda,45974931,1471413,229,199810,168694.0,5.0,17,26.0,3.32,0.59
Argentina,45267449,415097,17,2736690,4800.0,2.3,32,93.0,0.93,0.58
Algeria,43984569,797990,18,2381740,-10000.0,3.1,29,73.0,1.85,0.56
Sudan,44019263,1036022,25,1765048,-50000.0,4.4,20,35.0,2.42,0.56
Ukraine,43686577,-259876,75,579320,10000.0,1.4,41,69.0,-0.59,0.56
Iraq,40372771,912710,93,434320,7834.0,3.7,21,73.0,2.32,0.52
Afghanistan,39074280,886592,60,652860,-62920.0,4.6,18,25.0,2.33,0.5
Poland,37839255,-41157,124,306230,-29395.0,1.4,42,60.0,-0.11,0.49
Canada,37799407,331107,4,9093510,242032.0,1.5,41,81.0,0.89,0.48
Morocco,36985624,438791,83,446300,-51419.0,2.4,30,64.0,1.2,0.47
Saudi Arabia,34905942,545343,16,2149690,134979.0,2.3,32,84.0,1.59,0.45
