County FIPS Code,State,County Name,No APTC ,Yes APTC,Total Plan Selections
2013,AK,Aleutians East Borough,.,.,29
2016,AK,Aleutians West Census Area,11,23,34
2020,AK,Anchorage Municipality,1084,7664,8748
2050,AK,Bethel Census Area,18,65,83
2060,AK,Bristol Bay Borough,.,.,29
2068,AK,Denali Borough,.,.,163
2070,AK,Dillingham Census Area,.,.,39
2090,AK,Fairbanks North Star Borough,230,1884,2114
2100,AK,Haines Borough,20,246,266
2105,AK,Hoonah-Angoon Census Area,.,.,119
2110,AK,Juneau City and Borough,153,925,1078
2122,AK,Kenai Peninsula Borough,211,2317,2528
2130,AK,Ketchikan Gateway Borough,42,459,501
2150,AK,Kodiak Island Borough,46,660,706
2164,AK,Lake and Peninsula Borough,.,.,36
2170,AK,Matanuska-Susitna Borough,341,2593,2934
2180,AK,Nome Census Area,15,46,61
2185,AK,North Slope Borough,.,.,35
2188,AK,Northwest Arctic Borough,.,.,15
2195,AK,Petersburg Census Area,29,182,211
2198,AK,Prince of Wales-Hyder Census Area,17,85,102
2220,AK,Sitka City and Borough,55,422,477
2230,AK,Skagway Municipality,.,.,161
2240,AK,Southeast Fairbanks Census Area,14,139,153
2261,AK,Valdez-Cordova Census Area,52,410,462
2270,AK,Wade Hampton Census Area,.,.,19
2275,AK,Wrangell City and Borough,.,.,82
2282,AK,Yakutat City and Borough,0,12,12
2290,AK,Yukon-Koyukuk Census Area,11,48,59
1001,AL,Autauga County,206,1530,1736
1003,AL,Baldwin County,1151,8533,9684
1005,AL,Barbour County,86,719,805
1007,AL,Bibb County,58,499,557
1009,AL,Blount County,138,1694,1832
1011,AL,Bullock County,35,257,292
1013,AL,Butler County,78,636,714
1015,AL,Calhoun County,363,3162,3525
1017,AL,Chambers County,87,926,1013
1019,AL,Cherokee County,60,699,759
1021,AL,Chilton County,135,1591,1726
1023,AL,Choctaw County,56,517,573
1025,AL,Clarke County,84,917,1001
1027,AL,Clay County,42,381,423
1029,AL,Cleburne County,60,456,516
1031,AL,Coffee County,151,1160,1311
1033,AL,Colbert County,214,1597,1811
1035,AL,Conecuh County,57,502,559
1037,AL,Coosa County,53,310,363
1039,AL,Covington County,120,1119,1239
1041,AL,Crenshaw County,45,437,482
1043,AL,Cullman County,297,2508,2805
1045,AL,Dale County,155,1138,1293
1047,AL,Dallas County,158,1364,1522
1049,AL,DeKalb County,186,2506,2692
1051,AL,Elmore County,283,2095,2378
1053,AL,Escambia County,91,925,1016
1055,AL,Etowah County,316,3708,4024
1057,AL,Fayette County,45,429,474
1059,AL,Franklin County,77,823,900
1061,AL,Geneva County,96,802,898
1063,AL,Greene County,32,279,311
1065,AL,Hale County,62,443,505
1067,AL,Henry County,58,610,668
1069,AL,Houston County,390,3397,3787
1071,AL,Jackson County,178,1664,1842
1073,AL,Jefferson County,3091,20801,23892
1075,AL,Lamar County,31,411,442
1077,AL,Lauderdale County,390,2929,3319
1079,AL,Lawrence County,94,1182,1276
1081,AL,Lee County,543,4289,4832
