County FIPS Code,State Name,County Name,< 100% of FPL,≥ 100%  to ≤ 150% of FPL,> 150% to ≤ 200% of FPL ,> 200% to ≤ 250% of FPL ,> 250% to ≤ 300% of FPL ,> 300% to ≤ 400% of FPL ,> 400% of FPL,Unknown ,Total Plan Selections
2013,AK,Aleutians East Borough,.,12,.,.,.,.,0,.,29
2016,AK,Aleutians West Census Area,.,.,.,.,.,.,.,.,34
2020,AK,Anchorage Municipality,382,2373,1901,1620,948,896,163,465,8748
2050,AK,Bethel Census Area,12,12,18,20,.,.,.,.,83
2060,AK,Bristol Bay Borough,0,.,.,11,.,.,.,0,29
2068,AK,Denali Borough,.,39,30,30,29,20,.,.,163
2070,AK,Dillingham Census Area,.,.,13,.,.,.,.,.,39
2090,AK,Fairbanks North Star Borough,61,617,494,367,229,242,39,65,2114
2100,AK,Haines Borough,.,76,50,60,27,34,.,.,266
2105,AK,Hoonah-Angoon Census Area,.,44,32,16,12,.,.,0,119
2110,AK,Juneau City and Borough,35,230,258,201,138,140,24,52,1078
2122,AK,Kenai Peninsula Borough,67,728,570,471,270,278,43,101,2528
2130,AK,Ketchikan Gateway Borough,.,102,101,110,65,88,.,17,501
2150,AK,Kodiak Island Borough,21,247,168,129,60,54,.,.,706
2164,AK,Lake and Peninsula Borough,.,15,.,.,.,.,.,.,36
2170,AK,Matanuska-Susitna Borough,96,742,659,574,303,344,71,145,2934
2180,AK,Nome Census Area,.,13,17,14,0,.,.,.,61
2185,AK,North Slope Borough,.,11,.,.,.,.,.,.,35
2188,AK,Northwest Arctic Borough,.,.,.,.,0,.,.,0,15
2195,AK,Petersburg Census Area,.,47,29,43,27,43,0,.,211
2198,AK,Prince of Wales-Hyder Census Area,.,21,14,24,19,13,0,.,102
2220,AK,Sitka City and Borough,27,124,78,83,80,54,15,16,477
2230,AK,Skagway Municipality,.,46,37,29,22,22,.,.,161
2240,AK,Southeast Fairbanks Census Area,.,43,54,20,12,13,.,.,153
2261,AK,Valdez-Cordova Census Area,26,129,97,86,46,44,15,19,462
2270,AK,Wade Hampton Census Area,.,.,.,.,0,.,0,0,19
2275,AK,Wrangell City and Borough,.,17,14,16,.,16,.,.,82
2282,AK,Yakutat City and Borough,0,.,.,.,0,0,0,0,12
2290,AK,Yukon-Koyukuk Census Area,.,18,14,.,.,.,.,.,59
1001,AL,Autauga County,88,787,423,188,88,63,18,81,1736
1003,AL,Baldwin County,335,4070,2259,1245,619,606,152,398,9684
1005,AL,Barbour County,37,451,148,80,25,.,.,35,805
