rank,school,type,grades,address,city,zip,county,district,year
1,School 28,Public,"PK, KG-8",200 Presidential Boulevard,Paterson,07522,Passaic County,Paterson Public School District,2018
2,Thomas Edison EnergySmart Charter School,"Public, Charter, Alternative",K-12,150 Pierce Street,Somerset,08873,Somerset County,Thomas Edison EnergySmart Charter School,2018
3,Glenwood School,Public,K-4,325 Taylor Road  South,Short Hills,07078,Essex County,Millburn Township School District,2018
4,Milton Avenue School,Public,"PK, KG-3",16 Milton Avenue,Chatham,07928,Morris County,School District of the Chathams,2018
5,High Mountain Road School,Public,"PK, KG-5",765 High Mountain Road,Franklin Lakes,07417,Bergen County,Franklin Lakes School District,2018
6,George Washington School,Public,K-3,39 Fardale Avenue,Mahwah,07430,Bergen County,Mahwah Township Public School District,2018
7,Milford Public School,Public,"PK, KG-5",7 Hillside Avenue,Milford,08848,Hunterdon County,Milford Borough School District,2018
8,Cornelia F. Bradford School,Public,"PK, KG-5",96 Sussex St,Jersey City,07302,Hudson County,Jersey City Public Schools,2018
9,Terence C. Reilly School No 7,Public,2-8,436 First Avenue,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
10,Hillside Elementary School,Public,"PK, KG-3",89 Hillsdale Avenue,Allendale,07401,Bergen County,Allendale Public School District,2018
11,Deerfield School,Public,K-4,26 Troy Lane,Short Hills,07078,Essex County,Millburn Township School District,2018
12,Upper School,Public,3-8,143 Charlotte Pl,Englewood Cliffs,07632,Bergen County,Englewood Cliffs School District,2018
13,Henry B. Milnes Elementary School,Public,K-4,8-01 Phillip St,Fair Lawn,07410,Bergen County,Fair Lawn Public School District,2018
14,Essex Fells Elementary School,Public,"PK, KG-6",102 Hawthorne Rd,Essex Fells,07021,Essex County,Essex Fells School District,2018
15,William F. Halloran School No.22,Public,2-8,612 Pulaski Street,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
16,Princeton Charter School,"Public, Charter",K-8,100 Bunn Drive,Princeton,08540,Mercer County,Princeton Charter School,2018
17,Ho-Ho-Kus Public School,Public,"PK, KG-8",70 Lloyd Road,Ho Ho Kus,07423,Bergen County,Ho-Ho-Kus School District,2018
18,Wyoming School,Public,K-4,55 Myrtle Ave,Millburn,07041,Essex County,Millburn Township School District,2018
19,Mendham Township Elementary School,Public,"PK, KG-4",18 West Main Street,Brookside,07926,Morris County,Mendham Township School District,2018
20,Zane North Elementary School,Public,"PK, KG-5",801 Stokes Avenue,Collingswood,08108,Camden County,Collingswood Public School District,2018
21,Edith A. Bogert Elementary School,Public,3-5,391 W  Saddle River Rd,Upper Saddle River,07458,Bergen County,Upper Saddle River School District,2018
22,Wandell School,Public,"PK, KG-5",97 E Allendale Rd,Saddle River,07458,Bergen County,Saddle River School District,2018
23,Hamilton Primary School,Public,K-4,9 Hamilton Lane,Basking Ridge,07920,Somerset County,Bridgewater-Raritan Regional School District,2018
24,Franklin Elementary School,Public,1-5,136 Blackburn Road,Summit,07901,Union County,Summit Public School District,2018
25,Monmouth Junction Elementary School,Public,"PK, KG-5",630 Ridge Road,Monmouth Junction,08852,Middlesex County,South Brunswick School District,2018
26,Sara M. Gilmore Academy,Public,1-8,1700 Kerrigan Avenue,Union City,07087,Hudson County,Union City School District,2018
27,Deane-Porter Elementary School,Public,"PK, KG-3",50 Blackpoint Road,Rumson,07760,Monmouth County,Rumson Borough School District,2018
28,Hartshorn School,Public,K-4,400 Hartshorn Drive,Short Hills,07078,Essex County,Millburn Township School District,2018
29,Mount Pleasant Elementary School,Public,K-5,11 Broadlawn Dr,Livingston,07039,Essex County,Livingston Board of Education School District,2018
30,Mount Prospect Elementary School,Public,"PK, KG-5",111 Hansom Road,Basking Ridge,07920,Somerset County,Bernards Township School District,2018
31,Viola L Sickles School,Public,"PK, KG-3",25 Willow Street,Fair Haven,07704,Monmouth County,Fair Haven School District,2018
32,Washington Elementary School,Public,1-5,900 St. Marks Avenue,Westfield,07090,Union County,Westfield Public School District,2018
33,Martin Luther King Elementary School,Public,K-5,285 Tingley Lane,Edison,08820,Middlesex County,Edison Township School District,2018
34,Alpine Elementary School,Public,K-8,500 Hillside Avenue,Alpine,07620,Bergen County,Alpine School District,2018
