rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Deane-Porter Elementary School,"PK, KG-3",Rumson Borough School District,384,0.0%,"$11,020",98.3,2017
2,School 28,"PK, KG-8",Paterson Public School District,488,82.6%,"$9,579",97.8,2017
3,Thomas Edison EnergySmart Charter School,K-12,Thomas Edison EnergySmart Charter School,421,9.7%,"$7,387",96.5,2017
4,Terence C. Reilly School No 7,2-8,Elizabeth Public Schools,"1,055",73.5%,"$7,777",96.2,2017
5,Deerfield School,K-4,Millburn Township School District,563,0.5%,"$13,641",96.1,2017
6,Princeton Charter School,K-8,Princeton Charter School,350,1.4%,,96,2017
7,Sara M. Gilmore Academy,1-8,Union City School District,369,56.4%,"$11,311",95.8,2017
8,Sea Girt Elementary School,"PK, KG-8",Sea Girt Borough School District,145,0.0%,"$19,511",95.8,2017
9,Ho-Ho-Kus Public School,"PK, KG-8",Ho-Ho-Kus School District,612,0.0%,"$13,291",95.5,2017
10,Hartshorn School,K-4,Millburn Township School District,496,0.6%,"$13,657",95.5,2017
11,Glenwood School,K-4,Millburn Township School District,471,0.6%,"$13,622",95.2,2017
12,Merritt Memorial,1-5,Cresskill Public School District,337,0.0%,"$10,439",95.2,2017
13,Essex Fells Elementary School,"PK, KG-6",Essex Fells School District,223,0.0%,"$16,556",94.9,2017
14,Lincoln-Hubbard Elementary School,1-5,Summit Public School District,289,6.9%,"$6,083",94.8,2017
15,William F. Halloran School No.22,2-8,Elizabeth Public Schools,861,72.7%,"$6,924",94.8,2017
16,Franklin Elementary School,1-5,Summit Public School District,369,2.4%,"$6,028",94.8,2017
17,Monmouth Junction Elementary School,"PK, KG-5",South Brunswick School District,343,3.2%,"$11,552",94.6,2017
18,Hawes Elementary School,K-5,Ridgewood Public School District,419,1.7%,"$10,461",94.5,2017
19,Wildwood Elementary School,K-5,Mountain Lakes Public School District,438,0.0%,"$14,491",94.5,2017
20,Orchard Elementary School,K-5,Ridgewood Public School District,303,4.0%,"$12,001",94.2,2017
21,Toll Gate Grammar School,"PK, KG-5",Hopewell Valley Regional School District,297,2.4%,"$12,454",94.2,2017
22,Mount Prospect Elementary School,"PK, KG-5",Bernards Township School District,631,0.5%,"$13,495",94.1,2017
23,Roosevelt Public School,"PK, KG-6",Roosevelt Borough Public School District,88,0.0%,"$19,731",94,2017
24,Washington Avenue School,"PK, KG-3",School District of the Chathams,397,1.0%,"$8,994",94,2017
25,West Cape May Elementary School,"PK, KG-6",West Cape May School District,98,28.6%,"$14,370",93.8,2017
26,Wandell School,"PK, KG-5",Saddle River School District,150,0.0%,"$23,157",93.8,2017
27,Harding Township School,"PK, KG-8",Harding Township School District,314,1.9%,"$20,191",93.8,2017
28,Mendham Township Elementary School,"PK, KG-4",Mendham Township School District,346,0.0%,"$18,225",93.8,2017
29,Alpine Elementary School,K-8,Alpine School District,160,0.0%,"$27,835",93.8,2017
30,George C. Baker Elementary School,"PK, KG-3",Moorestown Township Public School District,382,7.6%,"$6,999",93.6,2017
31,Hillside Elementary School,"PK, KG-3",Allendale Public School District,359,0.8%,"$7,428",93.4,2017
32,Edith A. Bogert Elementary School,3-5,Upper Saddle River School District,377,0.8%,"$15,177",93.4,2017
33,Grandview Elementary School,"PK, KG-3",North Caldwell School District,412,0.0%,"$9,810",93.3,2017
