rank,school,type,grades,address,city,zip,county,district,year
1,Academy for Mathematics Science and Engineering,Public,12-Sep,520 West Main Street,Rockaway,7866,Morris County,Morris County Vocational School District,2017
2,Marine Academy of Technology and Environmental Science,Public,12-Sep,195 Cedar Bridge Road,Manahawkin,8050,Ocean County,Ocean County Vocational Technical School District,2017
3,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,12-Sep,100 Technology Drive,Edison,8837,Middlesex County,Middlesex County Vocational and Technical School District,2017
4,Academy For Allied Health Sciences,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County,Union County Vocational-Technical School District,2017
5,Union County Magnet High School,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County,Union County Vocational-Technical School District,2017
6,Academy For Information Technology,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County,Union County Vocational-Technical School District,2017
7,Middlesex County Vocational Academy Allied Health & Biomedical Science,Public,12-Aug,1 Convery Boulevard,Woodbridge,7095,Middlesex County,Middlesex County Vocational and Technical School District,2017
8,Dr Ronald McNair High School,Public,12-Sep,123 Coles  Street,Jersey City,7302,Hudson County,Jersey City Public Schools,2017
9,Communications High School,Public,12-Sep,1740 New Bedford Road,Wall,7719,Monmouth County,Monmouth County Vocational School District,2017
10,Monmouth County Academy of Allied Health and Science,Public,12-Sep,2325 Heck Avenue,Neptune,7753,Monmouth County,Monmouth County Vocational School District,2017
11,Marine Academy of Science and Technology,Public,12-Sep,305 Mast Way,Highlands,7732,Monmouth County,Monmouth County Vocational School District,2017
12,Biotechnology High School,Public,12-Sep,5000 Kozloski Road,Freehold,7728,Monmouth County,Monmouth County Vocational School District,2017
13,High Technology High School,Public,12-Sep,765 Newman Springs Road,Lincroft,7738,Monmouth County,Monmouth County Vocational School District,2017
14,Bergen County Academies,Public,12-Sep,200 Hackensack Avenue,Hackensack,7601,Bergen County,Bergen County Vocational Technical School District,2017
15,Academy For Performing Arts,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County,Union County Vocational-Technical School District,2017
16,Bergen County Technical High School - Teterboro,Public,12-Sep,504 Route 46 West,Teterboro,7608,Bergen County,Bergen County Vocational Technical School District,2017
17,Infinity Institute,Public,12-Jun,193 Old Bergen Road,Jersey City,7305,Hudson County,Jersey City Public Schools,2017
18,Union County Technical,Public,12-Sep,1776 Raritan Rd,Scotch Plains,7076,Union County,Union County Vocational-Technical School District,2017
19,Morris County School of Technology,Public,12-Sep,400 East Main Street,Denville,7834,Morris County,Morris County Vocational School District,2017
20,West Windsor-Plainsboro High School North,Public,12-Sep,90 Grovers Mill Road,Plainsboro,8536,Middlesex County,West Windsor-Plainsboro Regional School District,2017
21,Kinnelon High School,Public,12-Sep,121 Kinnelon Road,Kinnelon,7405,Morris County,Kinnelon School District,2017
22,Ridge High School,Public,12-Sep,268 South Finley Avenue,Basking Ridge,7920,Somerset County,Bernards Township School District,2017
23,Science Park High School,Public,12-Jul,260 Norfolk Street,Newark,7102,Essex County,Newark Public School District,2017
24,Technology High School,Public,12-Sep,223 Broadway,Newark,7102,Essex County,Newark Public School District,2017
25,Mountain Lakes High School,Public,12-Sep,96 Powerville Rd.,Mountain Lakes,7046,Morris County,Mountain Lakes Public School District,2017
26,West Windsor-Plainsboro High School South,Public,12-Sep,346 Clarksville Road,West Windsor,8550,Mercer County,West Windsor-Plainsboro Regional School District,2017
27,Montgomery High School,Public,12-Sep,1016 Route 601,Skillman,8558,Somerset County,Montgomery Township School District,2017
28,Summit High School,Public,12-Sep,125 Kent Place Blvd,Summit,7901,Union County,Summit Public School District,2017
29,Millburn High School,Public,12-Sep,462 Millburn Ave,Millburn,7041,Essex County,Millburn Township School District,2017
30,Northern Valley Regional High School at Old Tappan,Public,12-Sep,140 Central Avenue,Old Tappan,7675,Bergen County,Northern Valley Regional High School District,2017
31,Ridgewood High School,Public,12-Sep,627 East Ridgewood Ave,Ridgewood,7451,Bergen County,Ridgewood Public School District,2017
32,John P. Stevens High School,Public,12-Sep,855 Grove Avenue,Edison,8820,Middlesex County,Edison Township School District,2017
33,Glen Ridge High School,Public,12-Jul,200 Ridgewood Ave,Glen Ridge,7028,Essex County,Glen Ridge Public School District,2017
34,New Providence High School,Public,12-Sep,35 Pioneer Dr,New Providence,7974,Union County,New Providence School District,2017
35,Mahwah High School,Public,12-Sep,50 Ridge Road,Mahwah,7430,Bergen County,Mahwah Township Public School District,2017
36,West Morris Central High School,Public,12-Sep,259 Bartley Road,Chester,7930,Morris County,West Morris Regional High School District,2017
37,Madison High School,Public,12-Sep,170 Ridgedale Avenue,Madison,7940,Morris County,Madison Public School District,2017
38,Chatham High School,Public,12-Sep,255 Lafayette Avenue,Chatham,7928,Morris County,School District of the Chathams,2017
39,North Hunterdon High School,Public,12-Sep,1445 State Route 31,Annandale,8801,Hunterdon County,North Hunterdon-Voorhees Regional High School District,2017
40,Mount Olive High School,Public,12-Sep,18 Corey Road,Flanders,7836,Morris County,Mount Olive Township School District,2017
41,Tenafly High School,Public,12-Sep,19 Columbus Drive,Tenafly,7670,Bergen County,Tenafly Public School District,2017
42,Northern Valley Regional High School at Demarest,Public,12-Sep,150 Knickerbocker Road,Demarest,7627,Bergen County,Northern Valley Regional High School District,2017
43,Haddonfield Memorial High School,Public,12-Sep,401 Kings Highway East,Haddonfield,8033,Camden County,Haddonfield School District,2017
44,North Star Academy Charter School,"Public, Charter, Alternative",K-12,10 Washington Place,Newark,7102,Essex County,North Star Academy Charter School,2017
45,Dumont High School,Public,12-Sep,101 New Milford Ave,Dumont,7628,Bergen County,Dumont Public School District,2017
46,Northern Highlands Regional High School,Public,12-Sep,298 Hillside Ave,Allendale,7401,Bergen County,Northern Highlands Regional High School District,2017
47,Fair Lawn High School,Public,12-Sep,14  00 Berdan Avenue,Fair Lawn,7410,Bergen County,Fair Lawn Public School District,2017
