rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Middlesex County Vocational Academy Math Science &Engineering Techn,12-Sep,Middlesex County Vocational and Technical School District,159,0.00%,"$11,783 ",98.3,2018
2,Biotechnology High School,12-Sep,Monmouth County Vocational School District,323,2.20%,"$16,641 ",98,2018
3,High Technology High School,12-Sep,Monmouth County Vocational School District,287,1.70%,"$16,345 ",97.9,2018
4,Middlesex County Vocational Academy Allied Health & Biomedical Science,12-Aug,Middlesex County Vocational and Technical School District,269,8.90%,"$9,375 ",97.8,2018
5,Academy For Allied Health Sciences,12-Sep,Union County Vocational-Technical School District,297,9.40%,"$8,221 ",97.2,2018
6,Union County Magnet High School,12-Sep,Union County Vocational-Technical School District,304,9.20%,"$8,753 ",97.2,2018
7,Academy For Information Technology,12-Sep,Union County Vocational-Technical School District,300,7.70%,"$8,671 ",97.1,2018
8,Marine Academy of Technology and Environmental Science,12-Sep,Ocean County Vocational Technical School District,275,6.90%,"$12,615 ",96.8,2018
9,Communications High School,12-Sep,Monmouth County Vocational School District,320,1.30%,"$16,390 ",96.6,2018
10,Academy for Mathematics Science and Engineering,12-Sep,Morris County Vocational School District,121,0.00%,"$12,298 ",96.3,2018
11,Monmouth County Academy of Allied Health and Science,12-Sep,Monmouth County Vocational School District,300,3.30%,"$16,078 ",96,2018
12,Dr Ronald McNair High School,12-Sep,Jersey City Public Schools,683,52.40%,"$11,528 ",95.8,2018
13,Bergen County Academies,12-Sep,Bergen County Vocational Technical School District,"1,098",4.60%,"$18,595 ",95.4,2018
14,Marine Academy of Science and Technology,12-Sep,Monmouth County Vocational School District,282,3.50%,"$16,104 ",94.3,2018
15,Union County Technical,12-Sep,Union County Vocational-Technical School District,447,14.30%,"$6,462 ",93.9,2018
16,Bergen County Technical High School - Teterboro,12-Sep,Bergen County Vocational Technical School District,665,8.90%,"$17,807 ",93.8,2018
17,Infinity Institute,12-Jun,Jersey City Public Schools,257,67.70%,"$9,826 ",92.4,2018
18,Academy For Performing Arts,12-Sep,Union County Vocational-Technical School District,224,12.50%,"$11,042 ",92.1,2018
19,Morris County School of Technology,12-Sep,Morris County Vocational School District,742,3.10%,"$13,307 ",90.2,2018
20,Science Park High School,12-Jul,Newark Public School District,811,75.70%,"$11,449 ",87.2,2018
21,Summit High School,12-Sep,Summit Public School District,"1,192",15.90%,"$7,246 ",86.3,2018
22,Millburn High School,12-Sep,Millburn Township School District,"1,421",2.30%,"$16,959 ",85.9,2018
23,Northern Valley Regional High School at Old Tappan,12-Sep,Northern Valley Regional High School District,"1,250",1.00%,"$14,765 ",85.7,2018
24,Ridge High School,12-Sep,Bernards Township School District,"1,884",1.60%,"$10,069 ",85.2,2018
25,Technology High School,12-Sep,Newark Public School District,597,87.10%,"$11,824 ",84.9,2018
26,Glen Ridge High School,12-Jul,Glen Ridge Public School District,834,0.00%,"$10,966 ",84.7,2018
27,Northern Valley Regional High School at Demarest,12-Sep,Northern Valley Regional High School District,"1,018",0.70%,"$15,340 ",84.4,2018
28,West Morris Central High School,12-Sep,West Morris Regional High School District,"1,239",1.00%,"$13,366 ",84.3,2018
29,New Providence High School,12-Sep,New Providence School District,630,2.40%,"$12,987 ",84.3,2018
30,John P. Stevens High School,12-Sep,Edison Township School District,"2,486",16.50%,"$6,666 ",84.2,2018
31,Montgomery High School,12-Sep,Montgomery Township School District,"1,640",3.70%,"$13,405 ",82.6,2018
32,Ridgewood High School,12-Sep,Ridgewood Public School District,"1,742",1.70%,"$11,059 ",82.6,2018
33,Kinnelon High School,12-Sep,Kinnelon School District,664,4.50%,"$19,732 ",82.5,2018
34,West Windsor-Plainsboro High School South,12-Sep,West Windsor-Plainsboro Regional School District,"1,601",5.10%,"$12,191 ",81.9,2018
35,Westfield Senior High School,12-Sep,Westfield Public School District,"1,913",3.20%,"$7,575 ",81.5,2018
36,Madison High School,12-Sep,Madison Public School District,870,8.60%,"$14,709 ",81.5,2018
37,Tenafly High School,12-Sep,Tenafly Public School District,"1,193",3.00%,"$11,703 ",81.2,2018
38,Cumberland County Technical Education Center,12-Sep,Cumberland County Board of Vocational Education,493,40.20%,"$14,176 ",81.2,2018
39,West Windsor-Plainsboro High School North,12-Sep,West Windsor-Plainsboro Regional School District,"1,448",6.10%,"$14,022 ",81.1,2018
40,Pascack Hills High School,12-Sep,Pascack Valley Regional High School District,811,1.80%,"$16,816 ",81.1,2018
41,Haddonfield Memorial High School,12-Sep,Haddonfield School District,834,1.40%,"$8,175 ",80.5,2018
42,OCVTS Grunin Performing Arts Academy,12-Sep,Ocean County Vocational Technical School District,258,6.60%,"$15,088 ",80.2,2018
43,West Morris Mendham High School,12-Sep,West Morris Regional High School District,"1,241",0.60%,"$12,763 ",79.4,2018
44,County Prep High School,12-Sep,Hudson County Schools of Technology School District,899,63.20%,"$16,033 ",78.9,2018
