"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G34000100001001","82","10","340010001001"
"G34000100001002","64","10","340010001002"
"G34000100002001","68","10","340010002001"
"G34000100002002","62","10","340010002002"
"G34000100002003","44","8","340010002003"
"G34000100003001","65","10","340010003001"
"G34000100003002","75","10","340010003002"
"G34000100003003","77","10","340010003003"
"G34000100004001","GQ","GQ","340010004001"
"G34000100004002","87","10","340010004002"
"G34000100004003","94","10","340010004003"
"G34000100005001","90","10","340010005001"
"G34000100005002","77","10","340010005002"
"G34000100011001","99","10","340010011001"
"G34000100011002","84","10","340010011002"
"G34000100012001","92","10","340010012001"
"G34000100012002","68","10","340010012002"
"G34000100012003","93","10","340010012003"
"G34000100013001","81","10","340010013001"
"G34000100013002","72","10","340010013002"
"G34000100014001","86","10","340010014001"
"G34000100014002","71","10","340010014002"
"G34000100014003","84","10","340010014003"
"G34000100015001","63","10","340010015001"
"G34000100015002","67","10","340010015002"
"G34000100019001","50","9","340010019001"
"G34000100019002","61","10","340010019002"
"G34000100023001","87","10","340010023001"
"G34000100023002","87","10","340010023002"
"G34000100024001","40","8","340010024001"
"G34000100024002","43","8","340010024002"
"G34000100024003","42","8","340010024003"
"G34000100024004","41","8","340010024004"
"G34000100025001","73","10","340010025001"
"G34000100025002","80","10","340010025002"
"G34000100025003","73","10","340010025003"
"G34000100025004","79","10","340010025004"
"G34000100101011","27","5","340010101011"
"G34000100101012","28","5","340010101012"
"G34000100101013","24","5","340010101013"
"G34000100101014","25","5","340010101014"
"G34000100101021","10","2","340010101021"
"G34000100101022","29","6","340010101022"
"G34000100101023","14","3","340010101023"
"G34000100101041","31","6","340010101041"
"G34000100101042","28","5","340010101042"
"G34000100101051","21","4","340010101051"
"G34000100101052","59","9","340010101052"
"G34000100101053","30","6","340010101053"
"G34000100102001","61","10","340010102001"
"G34000100102002","41","8","340010102002"
"G34000100102003","72","10","340010102003"
"G34000100102004","36","7","340010102004"
"G34000100102005","31","6","340010102005"
"G34000100103001","54","9","340010103001"
"G34000100103002","68","10","340010103002"
"G34000100104011","45","8","340010104011"
"G34000100104012","32","6","340010104012"
"G34000100104013","14","3","340010104013"
"G34000100104031","52","9","340010104031"
"G34000100104032","41","8","340010104032"
"G34000100104033","50","9","340010104033"
"G34000100105011","73","10","340010105011"
"G34000100105012","23","4","340010105012"
"G34000100105013","48","9","340010105013"
"G34000100105014","47","8","340010105014"
"G34000100105031","87","10","340010105031"
"G34000100105032","83","10","340010105032"
"G34000100105033","69","10","340010105033"
"G34000100105034","54","9","340010105034"
"G34000100105051","38","7","340010105051"
"G34000100105052","45","8","340010105052"
"G34000100105061","45","8","340010105061"
"G34000100105062","38","7","340010105062"
"G34000100105063","45","8","340010105063"
"G34000100106001","51","9","340010106001"
"G34000100106002","68","10","340010106002"
"G34000100106003","71","10","340010106003"
"G34000100106004","66","10","340010106004"
"G34000100107001","38","7","340010107001"
"G34000100107002","41","8","340010107002"
"G34000100107003","45","8","340010107003"
"G34000100107004","60","9","340010107004"
"G34000100108001","40","8","340010108001"
"G34000100108002","52","9","340010108002"
"G34000100109001","48","9","340010109001"
"G34000100109002","33","6","340010109002"
"G34000100109003","51","9","340010109003"
"G34000100110001","48","9","340010110001"
"G34000100110002","37","7","340010110002"
"G34000100111001","34","7","340010111001"
"G34000100111002","49","9","340010111002"
