rank,school,type,grades,address,city,zip,county,district,year
1,School 28,Public,"PK, KG-8",200 Presidential Boulevard,Paterson,07522,Passaic County,Paterson Public School District,2019
2,George Washington School,Public,K-3,39 Fardale Avenue,Mahwah,07430,Bergen County,Mahwah Township Public School District,2019
3,Thomas Edison EnergySmart Charter School,"Public, Charter, Alternative",K-12,150 Pierce Street,Somerset,08873,Somerset County,Thomas Edison EnergySmart Charter School,2019
4,Sara M. Gilmore Academy,Public,1-8,1700 Kerrigan Avenue,Union City,07087,Hudson County,Union City School District,2019
5,William F. Halloran School No.22,Public,2-8,612 Pulaski Street,Elizabeth,07202,Union County,Elizabeth Public Schools,2019
6,Lincoln-Hubbard Elementary School,Public,1-5,52 Woodland Ave,Summit,07901,Union County,Summit Public School District,2019
7,Glenwood School,Public,K-4,325 Taylor Road  South,Short Hills,07078,Essex County,Millburn Township School District,2019
8,Cornelia F. Bradford School,Public,"PK, KG-5",96 Sussex St,Jersey City,07302,Hudson County,Jersey City Public Schools,2019
9,Princeton Charter School,"Public, Charter",K-8,100 Bunn Drive,Princeton,08540,Mercer County,Princeton Charter School,2019
10,Mendham Township Elementary School,Public,"PK, KG-4",18 West Main Street,Brookside,07926,Morris County,Mendham Township School District,2019
11,Upper School,Public,3-8,143 Charlotte Pl,Englewood Cliffs,07632,Bergen County,Englewood Cliffs School District,2019
12,Monmouth Junction Elementary School,Public,"PK, KG-5",630 Ridge Road,Monmouth Junction,08852,Middlesex County,South Brunswick School District,2019
13,Henry B. Milnes Elementary School,Public,K-4,8-01 Phillip St,Fair Lawn,07410,Bergen County,Fair Lawn Public School District,2019
14,Orchard Elementary School,Public,K-5,230 Demarest St,Ridgewood,07451,Bergen County,Ridgewood Public School District,2019
15,Hillside Elementary School,Public,"PK, KG-4",340 Homans Avenue,Closter,07624,Bergen County,Closter Public School District,2019
16,Deane-Porter Elementary School,Public,"PK, KG-3",50 Blackpoint Road,Rumson,07760,Monmouth County,Rumson Borough School District,2019
17,Clara E Coleman School,Public,K-5,100 Pinelynn Rd,Glen Rock,07452,Bergen County,Glen Rock Public School District,2019
18,Wyoming School,Public,K-4,55 Myrtle Ave,Millburn,07041,Essex County,Millburn Township School District,2019
19,South Valley Elementary School,Public,"PK, KG-3",210 S  Stanwick Rd,Moorestown,08057,Burlington County,Moorestown Township Public School District,2019
20,Somerville Elementary School,Public,K-5,45 South Pleasant Ave,Ridgewood,07451,Bergen County,Ridgewood Public School District,2019
21,Riverview Elementary School,Public,K-5,33 St  Marys Place,Denville,07834,Morris County,Denville Township K-8 School District,2019
22,Hartshorn School,Public,K-4,400 Hartshorn Drive,Short Hills,07078,Essex County,Millburn Township School District,2019
23,George C. Baker Elementary School,Public,"PK, KG-3",139 W  Maple Ave,Moorestown,08057,Burlington County,Moorestown Township Public School District,2019
24,Mount Prospect Elementary School,Public,"PK, KG-5",111 Hansom Road,Basking Ridge,07920,Somerset County,Bernards Township School District,2019
25,Viola L Sickles School,Public,"PK, KG-3",25 Willow Street,Fair Haven,07704,Monmouth County,Fair Haven School District,2019
26,Sea Girt Elementary School,Public,"PK, KG-8",451 Bell Place,Sea Girt,08750,Monmouth County,Sea Girt Borough School District,2019
27,Hillside Elementary School,Public,"PK, KG-3",89 Hillsdale Avenue,Allendale,07401,Bergen County,Allendale Public School District,2019
28,Hawes Elementary School,Public,K-5,531 Stevens Avenue,Ridgewood,07451,Bergen County,Ridgewood Public School District,2019
29,Washington Elementary School,Public,1-5,900 St. Marks Avenue,Westfield,07090,Union County,Westfield Public School District,2019
30,Milltown Primary School,Public,"PK, KG-4",611 Milltown Road,Bridgewater,08807,Somerset County,Bridgewater-Raritan Regional School District,2019
31,Franklin Elementary School,Public,1-5,136 Blackburn Road,Summit,07901,Union County,Summit Public School District,2019
32,Terence C. Reilly School No 7,Public,2-8,436 First Avenue,Elizabeth,07206,Union County,Elizabeth Public Schools,2019
33,Deerfield School,Public,K-4,26 Troy Lane,Short Hills,07078,Essex County,Millburn Township School District,2019
34,Ridge Elementary School,Public,K-5,325 West Ridgewood Ave,Ridgewood,07450,Bergen County,Ridgewood Public School District,2019
35,Woodbrook Elementary School,Public,K-5,15 Robin Road,Edison,08820,Middlesex County,Edison Township School District,2019
36,Grandview Elementary School,Public,"PK, KG-3",35 Hamilton Dr East,N Caldwell,07006,Essex County,North Caldwell School District,2019
37,Cherry Hill School,Public,"PK, KG-6",410 Bogert Rd,River Edge,07661,Bergen County,River Edge School District,2019
38,Wildwood Elementary School,Public,K-5,51 Glen Rd.,Mountain Lakes,07046,Morris County,Mountain Lakes Public School District,2019
39,Washington Elementary School,Public,1-5,507 Morris Ave,Summit,07901,Union County,Summit Public School District,2019
40,Wandell School,Public,"PK, KG-5",97 E Allendale Rd,Saddle River,07458,Bergen County,Saddle River School District,2019
41,Betsy Ross Elementary,Public,K-3,20 Malcolm Rd,Mahwah,07430,Bergen County,Mahwah Township Public School District,2019
42,Walter M. Schirra Elementary School,Public,K-5,One Awn St,Old Bridge,08857,Middlesex County,Old Bridge Township School District,2019
43,Essex Fells Elementary School,Public,"PK, KG-6",102 Hawthorne Rd,Essex Fells,07021,Essex County,Essex Fells School District,2019
44,High Mountain Road School,Public,"PK, KG-5",765 High Mountain Road,Franklin Lakes,07417,Bergen County,Franklin Lakes School District,2019
45,Mountain Park School,Public,3-5,55 Fairfax Dr,Berkeley Hts,07922,Union County,Berkeley Heights School District,2019
46,Edith A. Bogert Elementary School,Public,3-5,391 W  Saddle River Rd,Upper Saddle River,07458,Bergen County,Upper Saddle River School District,2019
47,Brookside Place School,Public,K-5,700 Brookside Place,Cranford,07016,Union County,Cranford Public School District,2019
48,Zane North Elementary School,Public,"PK, KG-5",801 Stokes Avenue,Collingswood,08108,Camden County,Collingswood Public School District,2019
49,Hillside Elementary School,Public,K-5,98 Belmont Drive,Livingston,07039,Essex County,Livingston Board of Education School District,2019
50,Ho-Ho-Kus Public School,Public,"PK, KG-8",70 Lloyd Road,Ho Ho Kus,07423,Bergen County,Ho-Ho-Kus School District,2019
51,Franklin Elementary School,Public,1-5,700 Prospect Street,Westfield,07090,Union County,Westfield Public School District,2019
52,Hatikvah International Academy Charter School,"Public, Charter",K-8,7 Lexington Avenue,East Brunswick,08816,Middlesex County,Hatikvah International Academy Charter School,2019
53,Peter Cooper School,Public,K-3,54 Roger Court,Ringwood,07456,Passaic County,Ringwood School District,2019
54,South Mountain School,Public,"PK, KG-4",2 Southern Slope Drive,Millburn,07041,Essex County,Millburn Township School District,2019
55,Alpine Elementary School,Public,K-8,500 Hillside Avenue,Alpine,07620,Bergen County,Alpine School District,2019
56,Salt Brook School,Public,K-6,40 Maple St,New Providence,07974,Union County,New Providence School District,2019
57,Ralph S Maugham School,Public,K-5,111 Magnolia Avenue,Tenafly,07670,Bergen County,Tenafly Public School District,2019
