rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,School 28,"PK, KG-8",Paterson Public School District,506,82.8%,"$9,579",98.1,2018
2,Thomas Edison EnergySmart Charter School,K-12,Thomas Edison EnergySmart Charter School,476,13.0%,"$7,387",97.6,2018
3,Glenwood School,K-4,Millburn Township School District,367,0.0%,"$13,622",97.5,2018
4,Milton Avenue School,"PK, KG-3",School District of the Chathams,291,2.1%,"$12,491",97.5,2018
5,High Mountain Road School,"PK, KG-5",Franklin Lakes School District,197,0.0%,"$12,337",97,2018
6,George Washington School,K-3,Mahwah Township Public School District,190,10.5%,"$10,984",96.7,2018
7,Milford Public School,"PK, KG-5",Milford Borough School District,70,11.4%,"$21,133",96.2,2018
8,Cornelia F. Bradford School,"PK, KG-5",Jersey City Public Schools,526,11.8%,"$6,621",96.1,2018
9,Terence C. Reilly School No 7,2-8,Elizabeth Public Schools,"1,077",70.1%,"$7,777",95.8,2018
10,Hillside Elementary School,"PK, KG-3",Allendale Public School District,389,0.8%,"$7,428",95.7,2018
11,Deerfield School,K-4,Millburn Township School District,438,0.0%,"$13,641",95.6,2018
12,Upper School,3-8,Englewood Cliffs School District,329,0.0%,"$12,826",95.6,2018
13,Henry B. Milnes Elementary School,K-4,Fair Lawn Public School District,479,5.4%,"$5,535",95.5,2018
14,Essex Fells Elementary School,"PK, KG-6",Essex Fells School District,228,0.0%,"$16,556",95.5,2018
15,William F. Halloran School No.22,2-8,Elizabeth Public Schools,"1,084",70.0%,"$6,924",95.5,2018
16,Princeton Charter School,K-8,Princeton Charter School,400,3.3%,,95.4,2018
17,Ho-Ho-Kus Public School,"PK, KG-8",Ho-Ho-Kus School District,599,0.0%,"$13,291",95.3,2018
18,Wyoming School,K-4,Millburn Township School District,310,1.0%,"$14,064",95.3,2018
19,Mendham Township Elementary School,"PK, KG-4",Mendham Township School District,351,0.0%,"$18,225",95.2,2018
20,Zane North Elementary School,"PK, KG-5",Collingswood Public School District,165,12.1%,"$13,644",95.1,2018
21,Edith A. Bogert Elementary School,3-5,Upper Saddle River School District,393,0.8%,"$15,177",94.9,2018
22,Wandell School,"PK, KG-5",Saddle River School District,147,2.0%,"$23,157",94.8,2018
23,Hamilton Primary School,K-4,Bridgewater-Raritan Regional School District,507,2.6%,"$8,485",94.6,2018
24,Franklin Elementary School,1-5,Summit Public School District,347,2.0%,"$6,028",94.6,2018
25,Monmouth Junction Elementary School,"PK, KG-5",South Brunswick School District,334,3.3%,"$11,552",94.6,2018
26,Sara M. Gilmore Academy,1-8,Union City School District,397,53.1%,"$11,311",94.5,2018
27,Deane-Porter Elementary School,"PK, KG-3",Rumson Borough School District,408,0.0%,"$11,020",94.5,2018
28,Hartshorn School,K-4,Millburn Township School District,423,0.7%,"$13,657",94.5,2018
29,Mount Pleasant Elementary School,K-5,Livingston Board of Education School District,431,0.7%,"$10,849",94.3,2018
30,Mount Prospect Elementary School,"PK, KG-5",Bernards Township School District,594,0.5%,"$13,495",94.1,2018
31,Viola L Sickles School,"PK, KG-3",Fair Haven School District,408,0.7%,"$8,188",94.1,2018
32,Washington Elementary School,1-5,Westfield Public School District,312,1.0%,"$6,459",93.9,2018
33,Martin Luther King Elementary School,K-5,Edison Township School District,697,9.0%,"$5,998",93.8,2018
34,Alpine Elementary School,K-8,Alpine School District,148,0.0%,"$27,835",93.7,2018
35,Hillview School,K-5,Pequannock Township School District,314,4.1%,"$13,405",93.7,2018
36,Merritt Memorial,1-5,Cresskill Public School District,358,0.8%,"$10,439",93.7,2018
37,Lincoln-Hubbard Elementary School,1-5,Summit Public School District,309,5.8%,"$6,083",93.6,2018
38,Wildwood Elementary School,K-5,Mountain Lakes Public School District,462,0.0%,"$14,491",93.6,2018
39,Littleton Elementary School,"PK, KG-5",Parsippany-Troy Hills Township School District,375,5.1%,"$10,284",93.5,2018
40,Oak Tree Elementary School,"PK, KG-3",Monroe Township School District,693,3.6%,"$12,219",93.4,2018
41,Hillside Elementary School,"PK, KG-4",Closter Public School District,666,0.5%,"$10,174",93.2,2018
42,Ridge Elementary School,K-5,Ridgewood Public School District,442,1.1%,"$11,275",93.2,2018
43,Washington Elementary School,1-5,Summit Public School District,364,13.5%,"$6,324",93.1,2018
44,South Mountain School,"PK, KG-4",Millburn Township School District,318,0.9%,"$14,387",93,2018
45,Westmoreland Elementary School,"PK, KG-4",Fair Lawn Public School District,405,12.6%,"$4,704",92.9,2018
46,Betsy Ross Elementary,K-3,Mahwah Township Public School District,204,3.4%,"$9,947",92.9,2018
47,South Valley Elementary School,"PK, KG-3",Moorestown Township Public School District,419,6.2%,"$7,108",92.9,2018
48,Woodbrook Elementary School,K-5,Edison Township School District,964,5.5%,"$6,009",92.7,2018
49,Hawes Elementary School,K-5,Ridgewood Public School District,407,2.0%,"$10,461",92.6,2018
50,Joseph D. Sharp Elementary School,K-5,Cherry Hill School District,355,13.8%,"$6,656",92.5,2018
51,Cherry Hill School,"PK, KG-6",River Edge School District,711,0.0%,"$11,402",92.5,2018
52,Northvail Elementary School,K-5,Parsippany-Troy Hills Township School District,377,5.3%,"$9,614",92.4,2018
53,Riker Hill Elementary School,K-5,Livingston Board of Education School District,399,1.3%,"$10,741",92.3,2018
54,Alexander Hamilton School,K-5,Glen Rock Public School District,267,1.1%,"$13,180",92.3,2018
55,Harding Township School,"PK, KG-8",Harding Township School District,308,1.0%,"$20,191",92.1,2018
56,Hilldale School,K-5,Montville Township School District,327,0.9%,"$13,513",92,2018
