rank,school,type,grades,address,city,zip,county,district,year
1,Dr Ronald McNair High School,Public,9-12,123 Coles  Street,Jersey City,07302,Hudson County,Jersey City Public Schools,2020
2,Academy For Information Technology,Public,9-12,1776 Raritan Road,Scotch Plains,07076,Union County,Union County Vocational-Technical School District,2020
3,Academy for Mathematics Science and Engineering,Public,9-12,520 West Main Street,Rockaway,07866,Morris County,Morris County Vocational School District,2020
4,Bergen County Technical High School - Teterboro,Public,9-12,504 Route 46 West,Teterboro,07608,Bergen County,Bergen County Vocational Technical School District,2020
5,West Windsor-Plainsboro High School North,Public,9-12,90 Grovers Mill Road,Plainsboro,08536,Middlesex County,West Windsor-Plainsboro Regional School District,2020
6,Infinity Institute,Public,6-12,193 Old Bergen Road,Jersey City,07305,Hudson County,Jersey City Public Schools,2020
7,West Windsor-Plainsboro High School South,Public,9-12,346 Clarksville Road,West Windsor,08550,Mercer County,West Windsor-Plainsboro Regional School District,2020
8,Morris County School of Technology,Public,9-12,400 East Main Street,Denville,07834,Morris County,Morris County Vocational School District,2020
9,Glen Ridge High School,Public,7-12,200 Ridgewood Ave,Glen Ridge,07028,Essex County,Glen Ridge Public School District,2020
10,Diana C. Lobosco STEM Academy,Public,9-12,45 Reinhardt Road,Wayne,07470,Passaic County,Passaic County Technical-Vocational School District,2020
11,Ridge High School,Public,9-12,268 South Finley Avenue,Basking Ridge,07920,Somerset County,Bernards Township School District,2020
12,Millburn High School,Public,9-12,462 Millburn Ave,Millburn,07041,Essex County,Millburn Township School District,2020
13,Union County Technical,Public,9-12,1776 Raritan Rd,Scotch Plains,07076,Union County,Union County Vocational-Technical School District,2020
14,New Providence High School,Public,9-12,35 Pioneer Dr,New Providence,07974,Union County,New Providence School District,2020
15,Chatham High School,Public,9-12,255 Lafayette Avenue,Chatham,07928,Morris County,School District of the Chathams,2020
16,Ridgewood High School,Public,9-12,627 East Ridgewood Ave,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
17,Academy For Performing Arts,Public,9-12,1776 Raritan Road,Scotch Plains,07076,Union County,Union County Vocational-Technical School District,2020
18,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,08873,Somerset County,Central Jersey College Prep Charter School,2020
19,Applied Technology High School,Public,9-12,400 Paramus Road,Paramus,07652,Bergen County,Bergen County Vocational Technical School District,2020
20,Summit High School,Public,9-12,125 Kent Place Blvd,Summit,07901,Union County,Summit Public School District,2020
21,Moorestown High School,Public,9-12,350 Bridgeboro Road,Moorestown,08057,Burlington County,Moorestown Township Public School District,2020
22,West Morris Mendham High School,Public,9-12,65 East Main Street,Mendham,07945,Morris County,West Morris Regional High School District,2020
23,Northern Valley Regional High School at Demarest,Public,9-12,150 Knickerbocker Road,Demarest,07627,Bergen County,Northern Valley Regional High School District,2020
24,Tenafly High School,Public,9-12,19 Columbus Drive,Tenafly,07670,Bergen County,Tenafly Public School District,2020
25,East Brunswick High School,Public,10-12,380 Cranbury Road,E Brunswick,08816,Middlesex County,East Brunswick Township School District,2020
26,Thomas Edison EnergySmart Charter School,"Public, Charter, Alternative",K-12,150 Pierce Street,Somerset,08873,Somerset County,Thomas Edison EnergySmart Charter School,2020
27,John P. Stevens High School,Public,9-12,855 Grove Avenue,Edison,08820,Middlesex County,Edison Township School District,2020
28,Montgomery High School,Public,9-12,1016 Route 601,Skillman,08558,Somerset County,Montgomery Township School District,2020
29,Westfield Senior High School,Public,9-12,550 Dorian Road,Westfield,07090,Union County,Westfield Public School District,2020
30,Glen Rock High School,Public,9-12,400 Hamilton Avenue,Glen Rock,07452,Bergen County,Glen Rock Public School District,2020
31,Rumson-Fair Haven Regional High School,Public,9-12,74 Ridge Road,Rumson,07760,Monmouth County,Rumson-Fair Haven Regional High School District,2020
32,Livingston High School,Public,9-12,30 Robert Harp Drive,Livingston,07039,Essex County,Livingston Board of Education School District,2020
33,Cresskill High School,Public,9-12,220 Jefferson Ave,Cresskill,07626,Bergen County,Cresskill Public School District,2020
34,Princeton High School,Public,9-12,151 Moore Street,Princeton,08540,Mercer County,Princeton Public School District,2020
35,Park Ridge High School,Public,7-12,2 Park Ave,Park Ridge,07656,Bergen County,Park Ridge School District,2020
36,Mercer County Technical School STEM Academy,Public,9-12,129 Bull Run Road,Pennington,08534,Mercer County,Area Vocational Technical School District of Mercer County,2020
37,Haddonfield Memorial High School,Public,9-12,401 Kings Highway East,Haddonfield,08033,Camden County,Haddonfield School District,2020
38,Holmdel High School,Public,9-12,36 Crawfords Corner Road,Holmdel,07733,Monmouth County,Holmdel Township School District,2020
39,Pascack Hills High School,Public,9-12,225 West Grand Avenue,Montvale,07645,Bergen County,Pascack Valley Regional High School District,2020
40,West Morris Central High School,Public,9-12,259 Bartley Road,Chester,07930,Morris County,West Morris Regional High School District,2020
41,Cumberland County Technical Education Center,Public,9-12,3400 College Drive,Millville,08332,Cumberland County,Cumberland County Board of Vocational Education,2020
42,Northern Valley Regional High School at Old Tappan,Public,9-12,140 Central Avenue,Old Tappan,07675,Bergen County,Northern Valley Regional High School District,2020
43,Madison High School,Public,9-12,170 Ridgedale Avenue,Madison,07940,Morris County,Madison Public School District,2020
44,High Technical High School,Public,9-12,One High Tech Way,Secaucus,07094,Hudson County,Hudson County Schools of Technology School District,2020
45,Metuchen High School,Public,9-12,400 Grove Ave,Metuchen,08840,Middlesex County,Metuchen Public School District,2020
46,Northern Highlands Regional High School,Public,9-12,298 Hillside Ave,Allendale,07401,Bergen County,Northern Highlands Regional High School District,2020
47,Marlboro High School,Public,9-12,95 North Main Street,Marlboro,07746,Monmouth County,Freehold Regional High School District,2020
48,Ocean County Vocational Technical School Waretown Center,Public,9-12,423 Wells Mills Road,Waretown,08758,Ocean County,Ocean County Vocational Technical School District,2020
49,Hillsborough High School,Public,9-12,466 Raider Boulevard,Hillsborough,08844,Somerset County,Hillsborough Township Public School District,2020
50,Gloucester County Institute of Technology,Public,9-12,1360 Tanyard Road,Sewell,08080,Gloucester County,Gloucester County Vocational-Technical School District,2020
51,Hopewell Valley Central High School,Public,9-12,259 Pennington Titusville Rd,Pennington,08534,Mercer County,Hopewell Valley Regional School District,2020
52,County Prep High School,Public,9-12,525 Montgomery Street,Jersey City,07306,Hudson County,Hudson County Schools of Technology School District,2020
53,Science Park High School,Public,7-12,260 Norfolk Street,Newark,07102,Essex County,Newark Public School District,2020
54,STEM Innovation Academy of the Oranges,Public,9-12,445 Scotland Road,South Orange,07079,Essex County,ORANGE BOARD OF EDUCATION School District,2020
55,Fair Lawn High School,Public,9-12,14  00 Berdan Avenue,Fair Lawn,07410,Bergen County,Fair Lawn Public School District,2020
56,River Dell Regional High School,Public,9-12,55 Pyle Street,Oradell,07649,Bergen County,River Dell Regional School District,2020
57,Elizabeth High School - Frank J Cicarell Academy,Public,9-12,40 Morrell Street,Elizabeth,07202,Union County,Elizabeth Public Schools,2020
58,Jose Marti STEM Academy,Public,9-12,1800 Summit Ave,Union City,07087,Hudson County,Union City School District,2020
59,Somerset County Vocational Technical High School,Public,9-12,14 Vogt Drive,Bridgewater,08807,Somerset County,Somerset County Vocational and Technical School District,2020
60,Academy for Environmental Science,Public,9-12,1010 Weldon Road,Oak Ridge,07438,Morris County,Morris County Vocational School District,2020
61,Cranford High School,Public,9-12,201 West End Place,Cranford,07016,Union County,Cranford Public School District,2020
62,Montclair High School,Public,9-12,100 Chestnut St,Montclair,07042,Essex County,Montclair Public School District,2020
63,Scotch Plains-Fanwood High School,Public,9-12,667 Westfield Road,Scotch Plains,07076,Union County,Scotch Plains-Fanwood School District,2020
64,West Essex High School,Public,9-12,65 West Greenbrook Rd,North Caldwell,07006,Essex County,West Essex Regional School District,2020
65,Indian Hills High School,Public,9-12,97 Yawpo Ave,Oakland,07436,Bergen County,Ramapo Indian Hills Regional High School District,2020
66,Governor Livingston High School,Public,9-12,175 Watchung Boulevard,Berkeley Heights,07922,Union County,Berkeley Heights School District,2020
67,Midland Park Junior/Senior High School,Public,7-12,250 Prospect St,Midland Park,07432,Bergen County,Midland Park School District,2020
68,Mahwah High School,Public,9-12,50 Ridge Road,Mahwah,07430,Bergen County,Mahwah Township Public School District,2020
69,Kinnelon High School,Public,9-12,121 Kinnelon Road,Kinnelon,07405,Morris County,Kinnelon School District,2020
70,Montville Township High School,Public,9-12,100 Horseneck Road,Montville,07045,Morris County,Montville Township School District,2020
71,Robbinsville High School,Public,9-12,155 Robbinsville Edinburg Rd,Robbinsville,08691,Mercer County,Robbinsville Public Schools,2020
72,Haddon Township High School,Public,9-12,406 Memorial Avenue,Westmont,08108,Camden County,Haddon Township School District,2020
73,Watchung Hills Regional High School,Public,9-12,108 Stirling Rd.,Warren,07059,Somerset County,Watchung Hills Regional High School District,2020
74,South Brunswick High School,Public,9-12,750 Ridge Road,Monmouth Junction,08852,Middlesex County,South Brunswick School District,2020
75,Bernards High School,Public,9-12,25 Olcott Avenue,Bernardsville,07924,Somerset County,Somerset Hills Regional School District,2020
76,Wayne Valley High School,Public,9-12,551 Valley Road,Wayne,07470,Passaic County,Wayne Township Public School District,2020
77,Sparta High School,Public,9-12,70 West Mountain Road,Sparta,07871,Sussex County,Sparta Township Public School District,2020
78,Colts Neck High School,Public,9-12,59 Five Points Road,Colts Neck,07722,Monmouth County,Freehold Regional High School District,2020
79,Shawnee High School,Public,9-12,600 Tabernacle Road,Medford,08055,Burlington County,Lenape Regional High School District,2020
80,Monroe Township High School,Public,9-12,200 Schoolhouse Road,Monroe Township,08831,Middlesex County,Monroe Township School District,2020
81,Westwood Regional High School,Public,9-12,701 Ridgewood Road,Township Of Washington,07676,Bergen County,Westwood Regional School District,2020
82,Parsippany Hills High School,Public,9-12,20 Rita Drive,Morris Plains,07950,Morris County,Parsippany-Troy Hills Township School District,2020
83,North Hunterdon High School,Public,9-12,1445 State Route 31,Annandale,08801,Hunterdon County,North Hunterdon-Voorhees Regional High School District,2020
84,Fort Lee High School,Public,9-12,3000 Lemoine Ave,Fort Lee,07024,Bergen County,Fort Lee School District,2020
85,Cherry Hill High School East,Public,9-12,1750 Kresson Rd.,Cherry Hill,08003,Camden County,Cherry Hill School District,2020
86,Henry Hudson Regional School,Public,7-12,1 Grand Tour,Highlands,07732,Monmouth County,Henry Hudson Regional School District,2020
87,Ramapo High School,Public,9-12,331 George Street,Franklin Lakes,07417,Bergen County,Ramapo Indian Hills Regional High School District,2020
88,Wayne Hills High School,Public,9-12,272 Berdan Avenue,Wayne,07470,Passaic County,Wayne Township Public School District,2020
89,Technology High School,Public,9-12,223 Broadway,Newark,07102,Essex County,Newark Public School District,2020
90,Columbia High School,Public,9-12,17 Parker Ave,Maplewood,07040,Essex County,South Orange-Maplewood School District,2020
91,Emerson Junior Senior High,Public,7-12,131 Main Street,Emerson,07630,Bergen County,Emerson Public School District,2020
92,Whippany Park High School,Public,9-12,165 Whippany Road,Whippany,07981,Morris County,Hanover Park Regional High School District,2020
93,Manalapan High School,Public,9-12,20 Church Lane,Englishtown,07726,Monmouth County,Freehold Regional High School District,2020
94,Eastern Regional High School,Public,9-12,1401 Laurel Oak Road,Voorhees,08043,Camden County,Eastern Camden County Regional School District,2020
95,Mount Olive High School,Public,9-12,18 Corey Road,Flanders,07836,Morris County,Mount Olive Township School District,2020
96,James Caldwell High School,Public,9-12,265 Westville Ave,West Caldwell,07006,Essex County,Caldwell-West School District,2020
97,Voorhees High School,Public,9-12,256 County Route 513,Glen Gardner,08826,Hunterdon County,North Hunterdon-Voorhees Regional High School District,2020
98,Bridgewater-Raritan High School,Public,9-12,600 Garretson Road,Bridgewater,08807,Somerset County,Bridgewater-Raritan Regional School District,2020
99,Hunterdon Central Regional High School District,Public,9-12,84 Route 31,Flemington,08822,Hunterdon County,Hunterdon Central Regional High School District,2020
