rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Academy For Information Technology,12-Sep,Union County Vocational-Technical School District,284,9.20%,"$8,671 ",95.5,2019
2,Union County Magnet High School,12-Sep,Union County Vocational-Technical School District,303,11.20%,"$8,753 ",95.5,2019
3,Middlesex County Vocational Academy Math Science &Engineering Techn,12-Sep,Middlesex County Vocational and Technical School District,159,1.90%,"$11,783 ",95.3,2019
4,Academy For Allied Health Sciences,12-Sep,Union County Vocational-Technical School District,308,13.30%,"$8,221 ",95.1,2019
5,Academy for Performing Arts,12-Sep,Morris County Vocational School District,34,0.00%,"$10,631 ",94.8,2019
6,Communications High School,12-Sep,Monmouth County Vocational School District,312,1.30%,"$16,390 ",94.8,2019
7,Monmouth County Academy of Allied Health and Science,12-Sep,Monmouth County Vocational School District,296,2.40%,"$16,078 ",94.1,2019
8,Bergen County Academies,12-Sep,Bergen County Vocational Technical School District,"1,098",5.10%,"$18,595 ",93.7,2019
9,Biotechnology High School,12-Sep,Monmouth County Vocational School District,317,1.60%,"$16,641 ",93.5,2019
10,Hunterdon County Academies,12-Sep,Hunterdon County Vocational School District,181,0.00%,"$6,795 ",93.5,2019
11,Union County Technical,12-Sep,Union County Vocational-Technical School District,482,17.00%,"$6,462 ",93.4,2019
12,High Technology High School,12-Sep,Monmouth County Vocational School District,286,2.80%,"$16,345 ",93,2019
13,Academy for Mathematics Science and Engineering,12-Sep,Morris County Vocational School District,144,0.00%,"$12,298 ",93,2019
14,Academy for Biotechnology,12-Sep,Morris County Vocational School District,39,0.00%,"$7,936 ",92.5,2019
15,Bergen County Technical High School - Teterboro,12-Sep,Bergen County Vocational Technical School District,666,10.20%,"$17,807 ",92.5,2019
16,Morris County School of Technology,12-Sep,Morris County Vocational School District,750,3.30%,"$13,307 ",92.1,2019
17,Dr Ronald McNair High School,12-Sep,Jersey City Public Schools,699,46.10%,"$11,528 ",91.8,2019
18,Middlesex County Vocational Academy Allied Health & Biomedical Science,12-Aug,Middlesex County Vocational and Technical School District,269,7.80%,"$9,375 ",91.7,2019
19,Marine Academy of Science and Technology,12-Sep,Monmouth County Vocational School District,278,2.20%,"$16,104 ",91.3,2019
20,Academy for Environmental Science,12-Sep,Morris County Vocational School District,40,0.00%,"$7,851 ",91.3,2019
21,Northern Valley Regional High School at Demarest,12-Sep,Northern Valley Regional High School District,"1,038",0.80%,"$15,340 ",88.2,2019
22,Marine Academy of Technology and Environmental Science,12-Sep,Ocean County Vocational Technical School District,275,6.50%,"$12,615 ",87.4,2019
23,Summit High School,12-Sep,Summit Public School District,"1,169",14.50%,"$7,246 ",86.8,2019
24,Pascack Hills High School,12-Sep,Pascack Valley Regional High School District,842,1.40%,"$16,816 ",86.8,2019
25,Academy For Performing Arts,12-Sep,Union County Vocational-Technical School District,236,11.40%,"$11,042 ",86.7,2019
