county_name,median_hh_income,poverty_count,poverty_rate,st_abb,year,state_code,county_code
ATLANTIC,59309,38092,14.4,NJ,2017,034,001
BERGEN,93805,62037,6.6,NJ,2017,034,003
BURLINGTON,86777,28202,6.5,NJ,2017,034,005
CAMDEN,65817,58696,11.7,NJ,2017,034,007
CAPE MAY,64450,9486,10.4,NJ,2017,034,009
CUMBERLAND,51786,26129,18.4,NJ,2017,034,011
ESSEX,60284,123806,15.7,NJ,2017,034,013
GLOUCESTER,84639,19238,6.7,NJ,2017,034,015
HUDSON,65673,96125,14.1,NJ,2017,034,017
HUNTERDON,113083,4793,3.9,NJ,2017,034,019
MERCER,78161,40622,11.4,NJ,2017,034,021
MIDDLESEX,85187,69518,8.5,NJ,2017,034,023
MONMOUTH,97627,45085,7.3,NJ,2017,034,025
MORRIS,114269,24225,4.9,NJ,2017,034,027
OCEAN,70493,60406,10.2,NJ,2017,034,029
PASSAIC,63127,82865,16.5,NJ,2017,034,031
SALEM,61322,8215,13.3,NJ,2017,034,033
SOMERSET,111838,17396,5.3,NJ,2017,034,035
SUSSEX,89744,7372,5.3,NJ,2017,034,037
UNION,76830,52052,9.3,NJ,2017,034,039
WARREN,79633,7770,7.4,NJ,2017,034,041
ATLANTIC,60826,33167,12.8,NJ,2018,034,001
BERGEN,100181,63403,6.8,NJ,2018,034,003
BURLINGTON,84470,26786,6.2,NJ,2018,034,005
CAMDEN,67135,64417,12.9,NJ,2018,034,007
CAPE MAY,62175,9325,10.3,NJ,2018,034,009
CUMBERLAND,51790,21430,15.2,NJ,2018,034,011
ESSEX,62875,116246,14.9,NJ,2018,034,013
GLOUCESTER,81315,21869,7.6,NJ,2018,034,015
HUDSON,73337,95704,14.3,NJ,2018,034,017
HUNTERDON,112335,5317,4.4,NJ,2018,034,019
MERCER,79979,38279,10.9,NJ,2018,034,021
MIDDLESEX,87666,65823,8.2,NJ,2018,034,023
MONMOUTH,99223,41380,6.7,NJ,2018,034,025
MORRIS,112396,22980,4.7,NJ,2018,034,027
OCEAN,68483,57366,9.7,NJ,2018,034,029
PASSAIC,71959,67374,13.6,NJ,2018,034,031
SALEM,64524,6891,11.2,NJ,2018,034,033
SOMERSET,119731,16112,4.9,NJ,2018,034,035
SUSSEX,92284,7233,5.2,NJ,2018,034,037
UNION,80737,43279,7.8,NJ,2018,034,039
WARREN,77571,7006,6.7,NJ,2018,034,041
ATLANTIC,62678,29057,11.3,NJ,2019,034,001
BERGEN,107971,52980,5.7,NJ,2019,034,003
BURLINGTON,88443,24961,5.7,NJ,2019,034,005
CAMDEN,73168,53641,10.7,NJ,2019,034,007
CAPE MAY,66565,8853,9.8,NJ,2019,034,009
CUMBERLAND,54179,19261,13.8,NJ,2019,034,011
ESSEX,64522,107745,13.8,NJ,2019,034,013
GLOUCESTER,87996,21602,7.5,NJ,2019,034,015
HUDSON,77738,90976,13.7,NJ,2019,034,017
HUNTERDON,117275,4794,4.0,NJ,2019,034,019
MERCER,79475,41600,11.9,NJ,2019,034,021
MIDDLESEX,92770,68514,8.5,NJ,2019,034,023
MONMOUTH,102579,37725,6.2,NJ,2019,034,025
MORRIS,116328,25678,5.3,NJ,2019,034,027
OCEAN,75627,53950,9.0,NJ,2019,034,029
PASSAIC,76039,65342,13.3,NJ,2019,034,031
SALEM,68146,7000,11.4,NJ,2019,034,033
SOMERSET,112722,17409,5.4,NJ,2019,034,035
SUSSEX,100281,7180,5.2,NJ,2019,034,037
UNION,79953,50094,9.1,NJ,2019,034,039
WARREN,83998,7313,7.1,NJ,2019,034,041
ATLANTIC,61377,35571,13.8,NJ,2020,034,001
BERGEN,107114,59225,6.4,NJ,2020,034,003
BURLINGTON,92471,25900,6.0,NJ,2020,034,005
CAMDEN,71718,61747,12.4,NJ,2020,034,007
CAPE MAY,75829,8546,9.6,NJ,2020,034,009
