rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Infinity Institute,6-12,Jersey City Public Schools,257,67.7%,"$9,826",96.1,2018
2,Sea Girt Elementary School,"PK, KG-8",Sea Girt Borough School District,141,0.0%,"$19,511",96,2018
3,Mendham Township Middle School,5-8,Mendham Township School District,334,0.0%,"$18,518",95.7,2018
4,H W Mountz Elementary School,"PK, KG-8",Spring Lake Borough,196,0.0%,"$25,190",95.6,2018
5,Markham Place School,5-8,Little Silver Boro School District,379,0.8%,"$9,993",95.4,2018
6,Sara M. Gilmore Academy,1-8,Union City School District,397,53.1%,"$11,311",94.6,2018
7,Hoboken Dual Language Charter School,K-8,Hoboken Dual Language Charter School,389,9.3%,"$9,496",94.3,2018
8,Demarest Middle School,5-8,Demarest School District,310,1.0%,"$12,207",94.2,2018
9,Brookside School,4-8,Allendale Public School District,524,1.1%,"$10,272",94,2018
10,Woodcliff Middle School,6-8,Woodcliff Lake School District,269,1.1%,"$17,046",93.7,2018
11,Bay Head Elementary,K-8,Bay Head Borough School District,129,0.0%,"$17,883",93.5,2018
12,Forrestdale School,4-8,Rumson Borough School District,625,0.5%,"$10,265",92.6,2018
13,Harding Township School,"PK, KG-8",Harding Township School District,308,1.0%,"$20,191",92.5,2018
14,Nicholas Oresko Community School,"PK, KG-8",Bayonne School District,462,43.7%,"$11,130",92.5,2018
15,Ho-Ho-Kus Public School,"PK, KG-8",Ho-Ho-Kus School District,599,0.0%,"$13,291",92.3,2018
16,Eugene A. Tighe Middle School,5-8,Margate City School District,175,9.7%,"$17,865",91.8,2018
17,Tenakill Middle School,5-8,Closter Public School District,504,0.0%,"$10,466",91.5,2018
18,Academy I,6-8,Jersey City Public Schools,487,62.4%,"$10,195",91.4,2018
19,Millburn Middle School,6-8,Millburn Township School District,"1,137",1.4%,"$14,838",91,2018
20,Emil A. Cavallini Middle School,6-8,Upper Saddle River School District,432,0.0%,"$15,979",90.8,2018
21,New Providence Middle School,7-8,New Providence School District,386,4.4%,"$9,397",90.7,2018
22,Knollwood School,4-8,Fair Haven School District,584,0.5%,"$10,199",90.2,2018
23,G. Harold Antrim Elementary School,"PK, KG-8",Point Pleasant Beach School District,406,24.6%,"$18,007",89.9,2018
24,Robert Treat Academy Charter School,K-8,Robert Treat Academy Charter School,681,72.4%,"$11,271",89.8,2018
25,Princeton Charter School,K-8,Princeton Charter School,400,3.3%,,89.7,2018
26,Madison Junior School,6-8,Madison Public School District,626,5.9%,"$12,630",89.6,2018
27,Upper School,3-8,Englewood Cliffs School District,329,0.0%,"$12,826",89.2,2018
28,School 28,"PK, KG-8",Paterson Public School District,506,82.8%,"$9,579",88.9,2018
29,Stewartsville Middle School,6-8,Greenwich Township School District,268,6.7%,"$13,301",88.8,2018
30,Heritage Middle School,7-8,Livingston Board of Education School District,959,2.1%,"$10,996",88.8,2018
31,Morris Plains Borough School,3-8,Morris Plains School District,368,6.0%,"$12,826",88.7,2018
32,Tenafly Middle School,6-8,Tenafly Public School District,917,1.7%,"$10,776",88.6,2018
33,Monmouth Beach Elementary School,"PK, KG-8",Monmouth Beach School District,243,0.0%,"$15,153",88.4,2018
34,East Amwell Township,"PK, KG-8",East Amwell Township School District,345,16.8%,"$16,880",88.4,2018
35,Woodrow Wilson Middle School,6-8,Edison Township School District,"1,196",10.6%,"$6,900",88.3,2018
36,Northvale Public School,K-8,Northvale Public School District,517,0.0%,"$14,135",88.2,2018
